region_id,gx,gy,sw_lat,sw_lng,ne_lat,ne_lng
134,153,23,40.58089012793666,-73.92913359482125,40.59888358144919,-73.90548598844192
135,154,23,40.580873128992046,-73.90551147579463,40.598861719811566,-73.88185751134048
136,155,23,40.58085127321243,-73.88188937051049,40.59883500004187,-73.85822905143105
137,156,23,40.580824560602544,-73.85826728240447,40.59880342214595,-73.834600612152
138,157,23,40.58079299116818,-73.83464521491214,40.59876698613061,-73.81097219694169
139,158,23,40.580756564916214,-73.8110231714691,40.59872569200378,-73.78734380923845
140,159,23,40.58071528185451,-73.78740115551086,40.59867953977442,-73.76371545248057
141,160,23,40.58066914199202,-73.76377917047297,40.59862852945249,-73.74008713010635
142,161,23,40.58061814533877,-73.74015721979093,40.59857266104913,-73.71645884555403
146,141,24,40.59872569200378,-74.21265619076156,40.61677737567296,-74.18907880509279
147,142,24,40.59876698613061,-74.18902780305831,40.61681382145334,-74.1654440146769
148,143,24,40.59880342214595,-74.165399387848,40.616845407812306,-74.14180920017276
149,144,24,40.59883500004187,-74.14177094856895,40.616872134743026,-74.11817436502155
150,145,24,40.598861719811566,-74.11814248865952,40.6168940022397,-74.0945395126644
151,146,24,40.59888358144919,-74.09451401155808,40.6169110102976,-74.07090464654249
152,147,24,40.59890058495006,-74.070885520703,40.61692315891301,-74.04726977009699
153,148,24,40.59891273031045,-74.0472570195327,40.61693044808331,-74.0236348867691
154,149,24,40.598920017527746,-74.02362851148555,40.61693287780692,-74.0
155,150,24,40.59892244660035,-74.0,40.61693044808331,-73.97636511323091
156,151,24,40.598920017527746,-73.97637148851445,40.61692315891301,-73.95273022990303
157,152,24,40.59891273031045,-73.9527429804673,40.6169110102976,-73.92909535345751
158,153,24,40.59890058495006,-73.92911447929701,40.6168940022397,-73.9054604873356
159,154,24,40.59888358144919,-73.90548598844192,40.616872134743026,-73.88182563497845
160,155,24,40.598861719811566,-73.88185751134048,40.616845407812306,-73.85819079982724
161,156,24,40.59883500004187,-73.85822905143105,40.61681382145334,-73.83455598532312
162,157,24,40.59880342214595,-73.834600612152,40.61677737567296,-73.81092119490721
